City,Country,lat,lng,Temp,Max Temp,humidity,Cloudiness,Wind Speed
Vaini,IN,15.34,74.49,74.93,74.93,77,3,2.13
Bubaque,GW,11.28,-15.83,76.91,76.91,71,74,18.07
Yulara,AU,-25.24,130.99,51.8,51.8,53,0,5.82
Punta Arenas,CL,-53.16,-70.91,51.37,51.8,66,0,26.4
Santa Rita,VE,10.21,-67.56,80.33,80.33,68,97,5.37
Atuona,PF,-9.8,-139.03,83.57,83.57,77,19,13.56
Bowen,AU,-20.01,148.25,72.36,73.0,94,40,8.05
Gasa,BT,27.91,89.73,23.09,23.09,87,87,1.34
Nyurba,RU,63.29,118.35,16.79,16.79,93,47,3.87
Talnakh,RU,69.49,88.39,10.4,10.4,85,75,22.37
Hobart,AU,-42.88,147.33,55.0,57.2,58,75,12.75
Pacific Grove,US,36.62,-121.92,65.68,73.99,62,1,12.75
Hun,BE,50.34,4.87,60.98,66.2,39,0,5.82
Albany,US,42.65,-73.75,64.2,70.0,46,75,12.75
Anchorage,US,61.22,-149.89,42.01,48.2,46,75,13.87
Arraial do Cabo,BR,-22.97,-42.02,84.24,86.0,74,0,8.05
Ribeira Grande,PT,38.52,-28.7,62.6,62.6,82,40,4.7
Busselton,AU,-33.64,115.35,41.36,42.01,67,10,8.59
San Jeronimo,PE,-13.65,-73.37,62.6,62.6,48,40,11.1
Ushuaia,AR,-54.81,-68.31,46.4,46.4,81,75,18.34
Castro,CL,-42.48,-73.76,50.0,50.0,81,90,4.7
Bestobe,KZ,52.5,73.1,34.07,34.07,65,0,2.39
Hambantota,LK,6.12,81.12,83.03,83.03,79,98,8.25
Kapaa,US,22.08,-159.32,77.92,78.8,65,1,17.22
Diego de Almagro,CL,-26.39,-70.05,67.19,67.19,51,0,6.38
Swan Hill,AU,-35.34,143.56,58.55,58.55,65,100,9.57
Semirom,IR,31.41,51.57,40.55,40.55,39,0,5.48
Bacungan,PH,9.87,118.73,82.49,82.49,75,42,6.17
Lhokseumawe,ID,5.18,97.15,73.85,73.85,84,97,2.98
Mendi,ET,9.8,35.1,76.73,76.73,22,30,2.82
Qaanaaq,GL,77.48,-69.36,5.27,5.27,91,100,4.9
Bondo,CD,3.81,23.69,76.01,76.01,54,70,0.98
Mataura,NZ,-46.19,168.86,42.01,42.01,97,21,2.19
Hermanus,ZA,-34.42,19.24,63.1,64.0,83,0,5.01
Leningradskiy,RU,69.38,178.42,1.85,1.85,89,100,20.49
Saint-Philippe,CA,45.36,-73.48,60.75,64.0,67,90,8.05
Butaritari,KI,3.07,172.79,82.85,82.85,80,100,19.06
